words,frequency
care,64
commit,54
take,47
environment,26
commitment,24
nature,24
protect,17
recycle,15
biodiversity,15
waste,12
respect,10
plant,10
water,9
we,8
’s,7
natural,7
animal,7
help,6
contribute,6
well,6
make,6
conservation,6
—,6
use,6
throw,6
river,6
specie,6
life,5
tree,5
reuse,5
continue,5
resource,5
home,5
everything,5
aware,5
work,5
teach,5
promote,5
knowledge,5
avoid,4
',4
kind,4
fauna,4
love,4
flora,4
country,4
pollute,4
less,4
share,4
common,4
generation,4
every,4
trash,4
pollution,4
learn,4
always,4
generate,4
experience,4
leave,3
much,3
also,3
value,3
get,3
future,3
spread,3
responsibility,3
wildlife,3
properly,3
know,3
green,3
world,3
garbage,3
area,3
separate,3
surrounding,3
everyone,3
practice,3
litter,3
energy,3
space,3
territory,3
especially,3
recycling,3
let,3
become,3
conscious,3
surround,2
depend,2
planet,2
diversity,2
importance,2
educate,2
beautiful,2
forest,2
way,2
informed,2
action,2
want,2
listen,2
toward,2
new,2
careful,2
today,2
beauty,2
responsible,2
favor,2
plastic,2
child,2
see,2
awareness,2
around,2
save,2
give,2
’,2
time,2
food,2
go,2
street,2
social,2
impact,2
people,2
possible,2
colombia,2
protection,2
sea,2
not,2
environmental,2
live,2
offer,2
clean,2
consumption,2
conserve,2
something,2
city,2
harm,2
responsibly,2
product,2
recognize,2
improve,2
preserve,2
vital,1
allow,1
survive,1
cultural,1
treasure,1
rather,1
simply,1
two,1
end,1
year,1
manage,1
reduce,1
sustainable,1
development,1
wellbee,1
day,1
initiative,1
earth,1
single,1
dedicated,1
vegan,1
ethic,1
rich,1
wealth,1
unplug,1
household,1
appliance,1
family,1
few,1
nonorganic,1
washing,1
community,1
harvest,1
necessary,1
topic,1
good,1
think,1
critically,1
ecologically,1
consumerism,1
farmer,1
bring,1
table,1
body,1
primary,1
participate,1
keep,1
hike,1
sure,1
defend,1
fully,1
even,1
great,1
marine,1
extinct,1
trail,1
away,1
encourage,1
student,1
without,1
nothing,1
pursue,1
professional,1
career,1
least,1
build,1
network,1
etc,1
feel,1
touch,1
supreme,1
attention,1
form,1
god,1
other,1
collaboration,1
bottle,1
motivate,1
science,1
example,1
lifestyle,1
brother,1
sister,1
try,1
small,1
thing,1
like,1
dissemination,1
underutilize,1
rational,1
electricity,1
nonrenewable,1
transition,1
stone,1
native,1
inspire,1
admire,1
empathize,1
stay,1
cut,1
endemic,1
would,1
reminder,1
recyclable,1
explore,1
respectful,1
descendant,1
produce,1
datum,1
information,1
regulate,1
biologist,1
create,1
transformation,1
one,1
person,1
alone,1
enough,1
fight,1
right,1
thrive,1
hurt,1
ill,1
candle,1
pine,1
special,1
event,1
mindful,1
eat,1
consume,1
innovation,1
sustainability,1
implementation,1
harmony,1
raise,1
fundamental,1
start,1
region,1
important,1
"""",1
ecosystem,1
ensure,1
must,1
remember,1
part,1
superior,1
nonhuman,1
complex,1
reasoning,1
cultivate,1
sow,1
flower,1
reason,1
destress,1
worldwide,1
ground,1
decision,1
regard,1
express,1
sound,1
key,1
habitat,1
guardian,1
cali,1
beginning,1
support,1
exploitation,1
captivity,1
torture,1
death,1
deserve,1
purpose,1
veganism,1
justice,1
